ID        SEED
1        2241839785
2        42203997
3        3874323310
4        1333849313
5        869100577
6        2874720986
7        38013574
8        246404413
9        2602290443
10       1716638271
11       3058204404
12       4206465127
13       1895492078
14       1139589446
15       400169688
16       1747590678
17       15338184
18       1081960466
19       400819086
20       3943234102
21       878049297
22       1453018774
23       2059844664
24       1069830000
25       3662173474
26       3128047557
27       3205766562
28       3178367532
29       2247001758
30       1794326823
31       2581307141
32       698699546
33       3862761651
34       2449564099
35       2018731263
36       2681701086
37       1514899001
38       222048382
39       738288448
40       2955713125
41       2004942792
42       2840357597
43       2902056783
44       2351269191
45       566063055
46       2797606057
47       4186030848
48       4107789674
49       4180797667
50       4081959927
51       175096267
52       2149271470
53       3123450637
54       3572654868
55       1295631554
56       2353731788
57       2347212651
58       3634110321
59       285989554
60       504441089
61       3244150677
62       3417920259
63       2793045652
64       2945159829
65       653908644
66       1771811025
67       3130462715
68       1627333231
69       3757537441
70       2330369536
71       2941255649
72       4077991377
73       609150702
74       2731124307
75       211667411
76       3820686473
77       1769340820
78       3086744923
79       3282607801
80       1907329292
81       2655272859
82       2644046111
83       1900248155
84       1670085380
85       2224677685
86       464262692
87       1902587000
88       2204697592
89       3001121103
90       2511664994
91       2201250940
92       4197300329
93       3868052899
94       3122549622
95       2414267753
96       1448223440
97       56750947
98       2641886021
99       2573945227
100      514235101
